index,coordinates,year,masked_ag,masked_urb,window_ag,cdl_ag,landcover,category,observer,landcover_code,strata,geometry,eco_region,strata_def,glad_ag
15661,"[-100.68870168311331, 36.26440411497041]",1996,0,0,0,-999.0,na,410,sean,0,4.0000000001,POINT (-100.68870168311331 36.26440411497041),GREAT PLAINS,likely non-cropland,-999.0
11972,"[-99.93708128489051, 25.569511499885444]",1996,1,0,1,-999.0,na,310,sean,0,3.0,POINT (-99.93708128489051 25.569511499885444),GREAT PLAINS,cropland loss,-999.0
18833,"[-94.62318705320989, 44.27593914486195]",1996,0,0,0,-999.0,na,510,sean,0,5.0,POINT (-94.62318705320989 44.27593914486195),GREAT PLAINS,possible errors,-999.0
15467,"[-102.2533872449927, 43.772253765056135]",1996,0,0,0,-999.0,na,410,sean,0,4.0000000001,POINT (-102.2533872449927 43.772253765056135),GREAT PLAINS,likely non-cropland,-999.0
15678,"[-107.47457533935219, 50.0064720053172]",1996,0,0,0,-999.0,na,410,sean,0,4.0000000001,POINT (-107.47457533935219 50.0064720053172),GREAT PLAINS,likely non-cropland,-999.0
12047,"[-97.10846611825497, 38.25543011069291]",1996,0,0,0,-999.0,ag,310,sean,1,3.0,POINT (-97.10846611825497 38.25543011069291),GREAT PLAINS,cropland loss,-999.0
8610,"[-102.70074825648422, 37.235123610989966]",1996,0,0,0,-999.0,ag,210,sean,1,2.0,POINT (-102.70074825648422 37.235123610989966),GREAT PLAINS,cropland gain,-999.0
18977,"[-97.77330926003182, 44.63598391073705]",1996,1,0,1,-999.0,ag,510,sean,1,5.0,POINT (-97.77330926003182 44.63598391073705),GREAT PLAINS,possible errors,-999.0
8609,"[-104.76965818733989, 48.8918424007817]",1996,0,0,0,-999.0,ag,210,sean,1,2.0,POINT (-104.76965818733989 48.8918424007817),GREAT PLAINS,cropland gain,-999.0
8626,"[-99.77026413662952, 29.00071655910837]",1996,0,0,0,-999.0,na,210,sean,0,2.0,POINT (-99.77026413662952 29.00071655910837),GREAT PLAINS,cropland gain,-999.0
18847,"[-99.79936955183499, 39.77484058225267]",1996,0,0,1,-999.0,ag,510,sean,1,5.0,POINT (-99.79936955183499 39.77484058225267),GREAT PLAINS,possible errors,-999.0
15488,"[-106.3165571065937, 47.413125611592555]",1996,0,0,0,-999.0,na,410,sean,0,4.0000000001,POINT (-106.3165571065937 47.413125611592555),GREAT PLAINS,likely non-cropland,-999.0
5057,"[-96.75893164120406, 40.42836495144962]",1996,1,0,1,-999.0,ag,110,sean,1,1.0,POINT (-96.75893164120406 40.42836495144962),GREAT PLAINS,likely stable croplands,-999.0
18817,"[-98.12823362878744, 40.1583313770433]",1996,1,0,1,-999.0,ag,510,sean,1,5.0,POINT (-98.12823362878744 40.1583313770433),GREAT PLAINS,possible errors,-999.0
18911,"[-103.95901847495043, 48.68972146185481]",1996,0,0,0,-999.0,na,510,sean,0,5.0,POINT (-103.95901847495043 48.68972146185481),GREAT PLAINS,possible errors,-999.0
8678,"[-101.25221486084149, 45.389221276471275]",1996,0,0,0,-999.0,na,210,sean,0,2.0,POINT (-101.25221486084149 45.389221276471275),GREAT PLAINS,cropland gain,-999.0
5095,"[-102.16607099937627, 38.6664093531776]",1996,1,0,1,-999.0,ag,110,sean,1,1.0,POINT (-102.16607099937627 38.6664093531776),GREAT PLAINS,likely stable croplands,-999.0
8525,"[-96.42125492590353, 40.18851477058971]",1996,0,0,0,-999.0,ag,210,sean,1,2.0,POINT (-96.42125492590353 40.18851477058971),GREAT PLAINS,cropland gain,-999.0
